Back to Table of Contents,,,,,,,,,,,,,,,
Impaired Loans by Type of Borrower,,,,,,,,,,,,,,,
,"July 31, 2025",,,"April 30, 2025",,,"January 31, 2025",,,"October 31, 2024",,,"July 31, 2024",,
,, Allowance for Credit Losses ,,, Allowance for Credit Losses ,,, Allowance for Credit Losses ,,, Allowance for Credit Losses ,,, Allowance for Credit Losses ,
($ millions) , Gross , Stage 3 , Net , Gross , Stage 3 , Net , Gross , Stage 3 , Net , Gross , Stage 3 , Net , Gross , Stage 3 , Net 
Residential mortgages," 2,659 ", 798 ," 1,861 "," 2,579 ", 748 ," 1,831 "," 2,563 ", 711 ," 1,852 "," 2,372 ", 645 ," 1,727 "," 2,197 ", 593 ," 1,604 "
Personal loans," 1,048 ", 600 , 448 ," 1,060 ", 617 , 443 ," 1,169 ", 647 , 522 ," 1,117 ", 621 , 496 ," 1,139 ", 659 , 480 
Credit cards?Ļ?, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Personal," 3,707 "," 1,398 "," 2,309 "," 3,639 "," 1,365 "," 2,274 "," 3,732 "," 1,358 "," 2,374 "," 3,489 "," 1,266 "," 2,223 "," 3,336 "," 1,252 "," 2,084 "
,,,,,,,,,,,,,,,
Financial services,,,,,,,,,,,,,,,
Non-bank, 107 , 42 , 65 , 106 , 37 , 69 , 135 , 60 , 75 , 141 , 57 , 84 , 172 , 63 , 109 
Bank, - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
Wholesale and retail, 545 , 235 , 310 , 558 , 223 , 335 , 536 , 195 , 341 , 487 , 189 , 298 , 505 , 202 , 303 
Real Estate and Contractors, 858 , 163 , 695 , 814 , 160 , 654 , 806 , 146 , 660 , 768 , 147 , 621 , 799 , 149 , 650 
Energy, 10 , 2 , 8 , 7 , 2 , 5 , 7 , 2 , 5 , 30 , 5 , 25 , 28 , 4 , 24 
Transportation, 289 , 72 , 217 , 344 , 77 , 267 , 365 , 76 , 289 , 351 , 75 , 276 , 312 , 69 , 243 
Automotive, 34 , 11 , 23 , 34 , 11 , 23 , 33 , 8 , 25 , 33 , 9 , 24 , 27 , 9 , 18 
Agriculture, 279 , 78 , 201 , 363 , 91 , 272 , 348 , 94 , 254 , 338 , 82 , 256 , 361 , 85 , 276 
Hospitality and leisure, 68 , 9 , 59 , 68 , 9 , 59 , 68 , 9 , 59 , 71 , 7 , 64 , 76 , 9 , 67 
Mining, 5 , 2 , 3 , 7 , 2 , 5 , 6 , 2 , 4 , 6 , 3 , 3 , 7 , 3 , 4 
Metals, 36 , 11 , 25 , 45 , 11 , 34 , 57 , 19 , 38 , 53 , 19 , 34 , 50 , 14 , 36 
Utilities, 84 , 8 , 76 , 2 , - , 2 , 2 , 1 , 1 , 1 , 1 , - , 2 , 2 , - 
Health care, 80 , 20 , 60 , 53 , 18 , 35 , 67 , 17 , 50 , 56 , 16 , 40 , 65 , 23 , 42 
Technology and media, 129 , 30 , 99 , 140 , 44 , 96 , 136 , 33 , 103 , 133 , 32 , 101 , 27 , 13 , 14 
Chemicals, 77 , 26 , 51 , 78 , 26 , 52 , 83 , 28 , 55 , 81 , 20 , 61 , 82 , 21 , 61 
Food and beverage, 131 , 45 , 86 , 138 , 43 , 95 , 169 , 65 , 104 , 198 , 49 , 149 , 133 , 30 , 103 
Forest products, 85 , 18 , 67 , 84 , 18 , 66 , 88 , 13 , 75 , 81 , 14 , 67 , 80 , 16 , 64 
Other, 166 , 61 , 105 , 166 , 61 , 105 , 169 , 62 , 107 , 172 , 61 , 111 , 173 , 73 , 100 
Sovereign, 200 , 3 , 197 , 203 , 3 , 200 , 257 , 2 , 255 , 250 , 2 , 248 , 253 , 3 , 250 
Business & Government," 3,183 ", 836 ," 2,347 "," 3,210 ", 836 ," 2,374 "," 3,332 ", 832 ," 2,500 "," 3,250 ", 788 ," 2,462 "," 3,153 ", 788 ," 2,365 "
,,,,,,,,,,,,,,,
"Impaired Loans, Net of Related Allowances"," 6,890 "," 2,234 "," 4,656 "," 6,849 "," 2,201 "," 4,648 "," 7,064 "," 2,190 "," 4,874 "," 6,739 "," 2,054 "," 4,685 "," 6,489 "," 2,040 "," 4,449 "
,,,,,,,,,,,,,,,
"(1) The Bank writes off credit card receivables at 180 days, on transfer from performing loans to impaired.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
